A	AH
SHORTCOMING	SH AO R T K AH M IH NG
SHORTCOMINGS	SH AO R T K AH M IH NG Z
SHORTCUT	SH AO R T K AH T
SHORTCUTS	SH AO R T K AH T S
SHORTED	SH AO R T IH D
SHORTEN	SH AO R T AH N
SHORTENED	SH AO R T AH N D
SHORTENING	SH AO R T AH N IH NG
SHORTENS	SH AO R T AH N Z
SHORTER	SH AO R T ER
SHORTEST	SH AO R T IH S T
SHORTFALL	SH AO R T F AO L
SHORTFALLS	SH AO R T F AO L Z
SHORTHAND	SH AO R T HH AE N D
SHORTING	SH AO R T IH NG
SHORTLY	SH AO R T L IY
SHORTNESS	SH AO R T N AH S
SHORTS	SH AO R T S
SHORTSIGHTED	SH AO R T S AY T IH D
SHORTSIGHTEDNESS	SH AO R T S AY T IH D N IH S
SHORTSTOP	SH AO R T S T AA P
SHORTWAVE	SH AO R T W EY V
SHORTY	SH AO R T IY
SHOT	SH AA T
SHOTGUN	SH AA T G AH N
SHOTGUNS	SH AA T G AH N Z
SHOTS	SH AA T S
SHOULD	SH UH D
SHOULDER	SH OW L D ER
SHOULDERED	SH OW L D ER D
SHOULDERING	SH OW L D ER IH NG
SHOULDERS	SH OW L D ER Z
SHOULDN'T	SH UH D AH N T
SHOUT	SH AW T
SHOUTED	SH AW T AH D
SHOUTING	SH AW T IH NG
SHOUTS	SH AW T S
SHOVE	SH AH V
SHOVED	SH AH V D
SHOVEL	SH AH V AH L
SHOVELED	SH AH V AH L D
SHOVELING	SH AH V L IH NG
SHOVELS	SH AH V AH L Z
SHOVER	SH AH V ER
SHOVES	SH AH V Z
SHOVING	SH AH V IH NG
SHOW	SH OW
SHOWBIZ	SH OW B IH Z
SHOWBOAT	SH OW B OW T
SHOWBOAT'S	SH OW B OW T S
SHOWCASE	SH OW K EY S
SHOWCASED	SH OW K EY S T
SHOWCASES	SH OW K EY S IH Z
SHOWCASING	SH OW K EY S IH NG
SHOWDOWN	SH OW D AW N
SHOWDOWNS	SH OW D AW N Z
SHOWED	SH OW D
SHOWER	SH AW ER
SHOWERED	SH AW ER D
SHOWERING	SH AW ER IH NG
SHOWERS	SH AW ER Z
SHOWGIRL	SH OW G ER L
SHOWGIRLS	SH OW G ER L Z
SHOWIEST	SH OW IY AH S T
SHOWING	SH OW IH NG
SHOWINGS	SH OW IH NG Z
SHOWMAN	SH OW M AH N
SHOWMANSHIP	SH OW M AH N SH IH P
SHOWN	SH OW N
SHOWPIECE	SH OW P IY S
SHOWPLACE	SH OW P L EY S
SHOWROOM	SH OW R UH M
SHOWROOMS	SH OW R UW M Z
SHOWS	SH OW Z
SHOWY	SH OW IY
SHRANK	SH R AE NG K
SHRAPNEL	SH R AE P N AH L
SHRED	SH R EH D
SHREDDED	SH R EH D AH D
SHREDDER	SH R EH D ER
SHREDDERS	SH R EH D ER Z
SHREDDING	SH R EH D IH NG
SHREDS	SH R EH D Z
SHREWD	SH R UW D
SHREWDEST	SH R UW D AH S T
SHREWDLY	SH R UW D L IY
SHREWDNESS	SH R UW D N AH S
SHRIEK	SH R IY K
SHRIEKED	SH R IY K T
SHRIEKING	SH R IY K IH NG
SHRIEKS	SH R IY K S
SHRIFT	SH R IH F T
SHRILL	SH R IH L
SHRIMP	SH R IH M P
SHRINE	SH R AY N
SHRINES	SH R AY N Z
SHRINK	SH R IH NG K
SHRINKAGE	SH R IH NG K IH JH
SHRINKING	SH R IH NG K IH NG
SHRINKS	SH R IH NG K S
SHRIVEL	SH R IH V AH L
SHRIVELED	SH R IH V AH L D
SHRIVELING	SH R IH V AH L IH NG
SHRIVER	SH R AY V ER
SHROUD	SH R AW D
SHROUDED	SH R AW D IH D
SHROUDING	SH R AW D IH NG
SHROUDS	SH R AW D Z
SHRUB	SH R AH B
SHRUBBERY	SH R AH B ER IY
SHRUBBY	SH R AH B IY
SHRUBS	SH R AH B Z
SHRUG	SH R AH G
SHRUGGED	SH R AH G D
SHRUGGING	SH R AH G IH NG
SHRUGS	SH R AH G Z
SHRUNK	SH R AH NG K
SHRUNKEN	SH R AH NG K AH N
SHTICK	SH T IH K
SHUCK	SH AH K
SHUCKED	SH AH K T
SHUCKING	SH AH K IH NG
SHUCKS	SH AH K S
SHUDDER	SH AH D ER
SHUDDERED	SH AH D ER D
SHUDDERING	SH AH D ER IH NG
SHUDDERS	SH AH D ER Z
SHUFFLE	SH AH F AH L
SHUFFLED	SH AH F AH L D
SHUFFLER	SH AH F AH L ER
SHUFFLERS	SH AH F AH L ER Z
SHUFFLES	SH AH F AH L Z
SHUFFLING	SH AH F L IH NG
SHUN	SH AH N
SHUNNED	SH AH N D
SHUNNING	SH AH N IH NG
SHUNS	SH AH N Z
SHUNT	SH AH N T
SHUNTED	SH AH N T IH D
SHUNTING	SH AH N T IH NG
SHUNTS	SH AH N T S
SHUT	SH AH T
SHUTDOWN	SH AH T D AW N
SHUTDOWNS	SH AH T D AW N Z
SHUTOUT	SH AH T AW T
SHUTS	SH AH T S
SHUTTER	SH AH T ER
SHUTTERED	SH AH T ER D
SHUTTERING	SH AH T ER IH NG
SHUTTERS	SH AH T ER Z
SHUTTING	SH AH T IH NG
SHUTTLE	SH AH T AH L
SHUTTLE'S	SH AH T AH L Z
SHUTTLED	SH AH T AH L D
SHUTTLES	SH AH T AH L Z
SHUTTLING	SH AH T AH L IH NG
SHY	SH AY
SHYING	SH AY IH NG
SHYLY	SH AY L IY
SHYNESS	SH AY N AH S
SHYSTER	SH AY S T ER
SHYSTERS	SH AY S T ER Z
SIBLING	S IH B L IH NG
SIBLINGS	S IH B L IH NG Z
SIBYL	S IH B AH L
SIC	S IH K
SICK	S IH K
SICKEN	S IH K AH N
SICKENED	S IH K AH N D
SICKENING	S IH K AH N IH NG
SICKER	S IH K ER
SICKEST	S IH K AH S T
SICKLE	S IH K AH L
SICKLES	S IH K AH L Z
SICKLY	S IH K L IY
SICKNESS	S IH K N AH S
SIDE	S AY D
SIDE'S	S AY D Z
SIDEARM	S AY D AA R M
SIDEARMS	S AY D AA R M Z
SIDEBAR	S AY D B AA R
SIDEBARS	S AY D B AA R Z
SIDED	S AY D AH D
SIDEKICK	S AY D K IH K
SIDELINE	S AY D L AY N
SIDELINED	S AY D L AY N D
SIDELINES	S AY D L AY N Z
SIDEMAN	S AY D M AE N
SIDER	S AY D ER
SIDES	S AY D Z
SIDESHOW	S AY D SH OW
SIDESHOWS	S AY D SH OW Z
SIDESTEP	S AY D S T EH P
SIDESTEPPED	S AY D S T EH P T
SIDESTEPPING	S AY D S T EH P IH NG
SIDESTEPS	S AY D S T EH P S
SIDETRACK	S AY D T R AE K
SIDETRACKED	S AY D T R AE K T
SIDEWALK	S AY D W AO K
SIDEWALKS	S AY D W AO K S
SIDEWAYS	S AY D W EY Z
SIDEWINDER	S AY D W AY N D ER
SIDING	S AY D IH NG
SIDLE	S AY D AH L
SIDLED	S AY D AH L D
SIDLES	S AY D AH L Z
SIDLING	S AY D AH L IH NG
SIEGE	S IY JH
SIEGES	S IY JH IH Z
SIENNA	S IY EH N AH
SIENNA'S	S IY EH N AH Z
SIERRA	S IY EH R AH
SIERRA'S	S IY EH R AH Z
SIERRAS	S IY EH R AH Z
SIEVE	S IH V
SIEVERS	S IY V ER Z
SIEVES	S IH V Z
SIEVING	S IH V IH NG
SIFT	S IH F T
SIFTED	S IH F T IH D
SIFTING	S IH F T IH NG
SIFTS	S IH F T S
SIGH	S AY
SIGHED	S AY D
SIGHING	S AY IH NG
SIGHS	S AY Z
SIGHT	S AY T
SIGHT-SEER	S AY T S IY R
SIGHTED	S AY T AH D
SIGHTING	S AY T IH NG
SIGHTINGS	S AY T IH NG Z
SIGHTS	S AY T S
SIGHTSEE	S AY T S IY
SIGHTSEEING	S AY T S IY IH NG
SIGHTSEER	S AY T S IY ER
SIGHTSEERS	S AY T S IY ER Z
SIGMA	S IH G M AH
SIGMOID	S IH G M OY D
SIGN	S AY N
SIGN'S	S AY N Z
SIGNAL	S IH G N AH L
SIGNAL'S	S IH G N AH L Z
SIGNALED	S IH G N AH L D
SIGNALING	S IH G N AH L IH NG
SIGNALS	S IH G N AH L Z
SIGNATORIES	S IH G N AH T AO R IY Z
SIGNATORY	S IH G N AH T AO R IY
SIGNATURE	S IH G N AH CH ER
SIGNATURES	S IH G N AH CH ER Z
SIGNED	S AY N D
SIGNER	S AY N ER
SIGNERS	S AY N ER Z
SIGNET	S IH G N IH T
SIGNIFICANCE	S AH G N IH F IH K AH N S
SIGNIFICANT	S AH G N IH F IH K AH N T
SIGNIFICANTLY	S IH G N IH F IH K AH N T L IY
SIGNIFIED	S IH G N AH F AY D
SIGNIFIES	S IH G N AH F AY Z
SIGNIFY	S IH G N AH F AY
SIGNIFYING	S IH G N AH F AY IH NG
SIGNING	S AY N IH NG
SIGNINGS	S AY N IH NG Z
SIGNOR	S IY N Y AO R
SIGNORE	S IY N Y AO R EY
SIGNORI	S IH G N AO R IY
SIGNPOST	S AY N P OW S T
SIGNPOSTS	S AY N P OW S T S
SIGNS	S AY N Z
SILENCE	S AY L AH N S
SILENCED	S AY L AH N S T
SILENCES	S AY L AH N S IH Z
SILENCING	S AY L AH N S IH NG
SILENT	S AY L AH N T
SILENTLY	S AY L AH N T L IY
SILHOUETTE	S IH L AH W EH T
SILHOUETTED	S IH L AH W EH T IH D
SILHOUETTES	S IH L AH W EH T S
SILICA	S IH L AH K AH
SILICATE	S IH L AH K AH T
SILICATES	S IH L AH K AH T S
SILICON	S IH L AH K AH N
SILICONE	S IH L AH K OW N
SILICONES	S IH L AH K OW N Z
SILK	S IH L K
SILKEN	S IH L K AH N
SILKS	S IH L K S
SILKWORM	S IH L K W ER M
SILKWORMS	S IH L K W ER M Z
SILKY	S IH L K IY
SILL	S IH L
SILLIER	S IH L IY ER
SILLIEST	S IH L IY AH S T
SILLINESS	S IH L IY N AH S
SILLS	S IH L Z
SILLY	S IH L IY
SILO	S AY L OW
SILOS	S AY L OW Z
SILT	S IH L T
SILVER	S IH L V ER
SILVER'S	S IH L V ER Z
SILVERS	S IH L V ER Z
SILVERWARE	S IH L V ER W EH R
SILVERY	S IH L V ER IY
SIMIAN	S IH M IY AH N
SIMILAR	S IH M AH L ER
SIMILARITIES	S IH M AH L EH R AH T IY Z
SIMILARITY	S IH M AH L EH R AH T IY
SIMILARLY	S IH M AH L ER L IY
SIMMER	S IH M ER
SIMMERED	S IH M ER D
SIMMERING	S IH M ER IH NG
SIMMERS	S IH M ER Z
SIMONY	S AY M AH N IY
SIMPER	S IH M P ER
SIMPLE	S IH M P AH L
SIMPLER	S IH M P AH L ER
SIMPLEST	S IH M P L AH S T
SIMPLEX	S IH M P L EH K S
SIMPLICITY	S IH M P L IH S AH T IY
SIMPLIFICATION	S IH M P L AH F IH K EY SH AH N
SIMPLIFIED	S IH M P L AH F AY D
SIMPLIFIES	S IH M P L AH F AY Z
SIMPLIFY	S IH M P L AH F AY
SIMPLIFYING	S IH M P L AH F AY IH NG
SIMPLISTIC	S IH M P L IH S T IH K
SIMPLY	S IH M P L IY
SIMULATE	S IH M Y AH L AH T
SIMULATED	S IH M Y AH L EY T IH D
SIMULATES	S IH M Y AH L EY T S
SIMULATING	S IH M Y AH L EY T IH NG
SIMULATION	S IH M Y AH L EY SH AH N
SIMULATIONS	S IH M Y UW L EY SH AH N Z
SIMULATOR	S IH M Y AH L EY T ER
SIMULATORS	S IH M Y AH L EY T ER Z
SIMULCAST	S AY M Y AH L K AE S T
SIMULTANEOUS	S AY M AH L T EY N IY AH S
SIMULTANEOUSLY	S AY M AH L T EY N IY AH S L IY
SIN	S IH N
SINCE	S IH N S
SINCERE	S IH N S IH R
SINCERELY	S IH N S IH R L IY
SINCERITY	S IH N S EH R AH T IY
SINE	S AY N
SINES	S AY N Z
SINEWY	S IH N Y UW IY
SINFUL	S IH N F AH L
SING	S IH NG
SINGE	S IH N JH
SINGED	S IH N JH D
SINGER	S IH NG ER
SINGER'S	S IH NG ER Z
SINGERS	S IH NG ER Z
SINGING	S IH NG IH NG
SINGLE	S IH NG G AH L
SINGLE-HANDED	S IH NG G AH L HH AE N D IH D
SINGLED	S IH NG G AH L D
SINGLEHANDEDLY	S IH NG G AH L HH AE N D IH D L IY
SINGLES	S IH NG G AH L Z
SINGLETON	S IH NG G AH L T AH N
SINGLETON'S	S IH NG G AH L T AH N Z
SINGLING	S IH NG G AH L IH NG
SINGLY	S IH NG G L IY
SINGS	S IH NG Z
SINGULAR	S IH NG G Y AH L ER
SINGULARIZATION	S IH NG G Y AH L ER IH Z EY SH AH N
SINGULARLY	S IH NG G Y AH L ER L IY
SINISTER	S IH N IH S T ER
SINK	S IH NG K
SINKER	S IH NG K ER
SINKHOLE	S IH NG K HH OW L
SINKING	S IH NG K IH NG
SINKS	S IH NG K S
SINNED	S IH N D
SINNER	S IH N ER
SINNERS	S IH N ER Z
SINNING	S IH N IH NG
SINS	S IH N Z
SINUOUS	S IH N W AH S
SINUS	S AY N AH S
SINUSES	S AY N AH S AH Z
SINUSOID	S AY N AH S OY D
SINUSOIDAL	S AY N AH S OY D AH L
SINUSOIDALLY	S AY N AH S OY D AH L IY
SIP	S IH P
SIPHON	S AY F AH N
SIPHONED	S AY F AH N D
SIPHONING	S AY F AH N IH NG
SIPHONS	S AY F AH N Z
SIPPED	S IH P T
SIPPING	S IH P IH NG
SIPS	S IH P S
SIR	S ER
SIRE	S AY ER
SIREN	S AY R AH N
SIRENS	S AY R AH N Z
SIRES	S AY R Z
SIS	S IH S
SISSY	S IH S IY
SISTER	S IH S T ER
SISTER'S	S IH S T ER Z
SISTERHOOD	S IH S T ER HH UH D
SISTERS	S IH S T ER Z
SIT	S IH T
SITAR	S IH T AA R
SITARS	S IH T AA R Z
SITCOM	S IH T K AA M
SITCOMS	S IH T K AA M Z
SITE	S AY T
SITE'S	S AY T S
SITED	S AY T IH D
SITES	S AY T S
SITING	S AY T IH NG
SITS	S IH T S
SITTER	S IH T ER
SITTERS	S IH T ER Z
SITTING	S IH T IH NG
SITUATE	S IH CH UW EY T
SITUATED	S IH CH UW EY T IH D
SITUATION	S IH CH UW EY SH AH N
SITUATION'S	S IH CH UW EY SH AH N Z
SITUATIONAL	S IH CH UW EY SH AH N AH L
SITUATIONS	S IH CH UW EY SH AH N Z
SITUS	S AY T AH S
SIX	S IH K S
SIX'S	S IH K S IH Z
SIXER	S IH K S ER
SIXES	S IH K S IH Z
SIXFOLD	S IH K S F OW L D
SIXTEEN	S IH K S T IY N
SIXTEEN'S	S IH K S T IY N Z
SIXTEENS	S IH K S T IY N Z
SIXTEENTH	S IH K S T IY N TH
SIXTEENTHS	S IH K S T IY N TH S
SIXTH	S IH K S TH
SIXTHS	S IH K S TH S
SIXTIES	S IH K S T IY Z
SIXTIETH	S IH K S T IY IH TH
SIXTY	S IH K S T IY
SIXTY'S	S IH K S T IY Z
SIZABLE	S AY Z AH B AH L
SIZE	S AY Z
SIZED	S AY Z D
SIZER	S AY Z ER
SIZES	S AY Z AH Z
SIZING	S AY Z IH NG
SIZZLE	S IH Z AH L
SIZZLED	S IH Z AH L D
SIZZLER	S IH Z L ER
SIZZLING	S IH Z AH L IH NG
SKATE	S K EY T
SKATEBOARD	S K EY T B AO R D
SKATEBOARDING	S K EY T B AO R D IH NG
SKATED	S K EY T IH D
SKATER	S K EY T ER
SKATERS	S K EY T ER Z
SKATES	S K EY T S
SKATING	S K EY T IH NG
SKEET	S K IY T
SKEETER	S K IY T ER
SKEETS	S K IY T S
SKEIN	S K EY N
SKEINS	S K EY N Z
SKELETAL	S K EH L AH T AH L
SKELETON	S K EH L AH T AH N
SKELETONS	S K EH L AH T AH N Z
SKEPTIC	S K EH P T IH K
SKEPTICAL	S K EH P T AH K AH L
SKEPTICALLY	S K EH P T IH K AH L IY
SKEPTICISM	S K EH P T IH S IH Z AH M
SKEPTICS	S K EH P T IH K S
SKETCH	S K EH CH
SKETCHBOOK	S K EH CH B UH K
SKETCHBOOKS	S K EH CH B UH K S
SKETCHED	S K EH CH T
SKETCHES	S K EH CH AH Z
SKETCHING	S K EH CH IH NG
SKETCHY	S K EH CH IY
SKEW	S K Y UW
SKEWED	S K Y UW D
SKEWER	S K Y UW ER
SKEWERED	S K Y UW ER D
SKEWERS	S K Y UW ER Z
SKEWING	S K Y UW IH NG
SKEWS	S K Y UW Z
SKI	S K IY
SKID	S K IH D
SKIDDED	S K IH D AH D
SKIDDING	S K IH D IH NG
SKIDS	S K IH D Z
SKIED	S K IY D
SKIER	S K AY R
SKIERS	S K IY ER Z
SKIES	S K AY Z
SKIFF	S K IH F
SKIFFS	S K IH F S
SKIING	S K IY IH NG
SKILL	S K IH L
SKILLED	S K IH L D
SKILLET	S K IH L AH T
SKILLFUL	S K IH L F AH L
SKILLFULLY	S K IH L F AH L IY
SKILLING	S K IH L IH NG
SKILLS	S K IH L Z
SKIM	S K IH M
SKIMMED	S K IH M D
SKIMMER	S K IH M ER
SKIMMERS	S K IH M ER Z
SKIMMING	S K IH M IH NG
SKIMP	S K IH M P
SKIMPIER	S K IH M P IY ER
SKIMPIEST	S K IH M P IY AH S T
SKIMPING	S K IH M P IH NG
SKIMPY	S K IH M P IY
SKIN	S K IH N
SKIN'S	S K IH N Z
SKINFLINT	S K IH N F L IH N T
SKINHEAD	S K IH N HH EH D
SKINHEADS	S K IH N HH EH D Z
SKINLESS	S K IH N L AH S
SKINNED	S K IH N D
SKINNER	S K IH N ER
SKINNER'S	S K IH N ER Z
SKINNIER	S K IH N IY ER
SKINNIEST	S K IH N IY AH S T
SKINNY	S K IH N IY
SKINS	S K IH N Z
SKIP	S K IH P
SKIPPED	S K IH P T
SKIPPER	S K IH P ER
SKIPPER'S	S K IH P ER Z
SKIPPERS	S K IH P ER Z
SKIPPING	S K IH P IH NG
SKIPS	S K IH P S
SKIRMISH	S K ER M IH SH
SKIRMISHES	S K ER M IH SH IH Z
SKIRMISHING	S K ER M IH SH IH NG
SKIRT	S K ER T
SKIRTED	S K ER T IH D
SKIRTING	S K ER T IH NG
SKIRTS	S K ER T S
SKIS	S K IY Z
SKIT	S K IH T
SKITS	S K IH T S
SKITTISH	S K IH T IH SH
SKITTISHNESS	S K IH T IH SH N AH S
SKITTLE	S K IH T AH L
SKITTLES	S K IH T AH L Z
SKOAL	S K OW L
SKULDUGGERY	S K AH L D AH G ER IY
SKULK	S K AH L K
SKULL	S K AH L
SKULLS	S K AH L Z
SKUNK	S K AH NG K
SKUNKS	S K AH NG K S
SKY	S K AY
SKY'S	S K AY Z
SKYCAP	S K AY K AE P
SKYDIVING	S K AY D AY V IH NG
SKYLARK	S K AY L AA R K
SKYLARKS	S K AY L AA R K S
SKYLIGHT	S K AY L AY T
SKYLIGHTS	S K AY L AY T S
SKYLINE	S K AY L AY N
SKYLINES	S K AY L AY N Z
SKYROCKET	S K AY R AA K AH T
SKYROCKETED	S K AY R AA K AH T IH D
SKYROCKETING	S K AY R AA K AH T IH NG
SKYROCKETS	S K AY R AA K AH T S
SKYSCRAPER	S K AY S K R EY P ER
SKYSCRAPERS	S K AY S K R EY P ER Z
SKYWARD	S K AY W ER D
SKYWAVE	S K AY W EY V
SKYWAY	S K AY W EY
SKYWRITER	S K AY R AY T ER
SKYWRITERS	S K AY R AY T ER Z
SKYWRITING	S K AY R AY T IH NG
SLAB	S L AE B
SLABS	S L AE B Z
SLACK	S L AE K
SLACKED	S L AE K T
SLACKEN	S L AE K AH N
SLACKENED	S L AE K AH N D
SLACKENING	S L AE K AH N IH NG
SLACKENS	S L AE K AH N Z
SLACKER	S L AE K ER
SLACKERS	S L AE K ER Z
SLACKNESS	S L AE K N AH S
SLACKS	S L AE K S
SLAG	S L AE G
SLAIN	S L EY N
SLALOM	S L AA L AH M
SLAM	S L AE M
SLAMMED	S L AE M D
SLAMMER	S L AE M ER
SLAMMING	S L AE M IH NG
SLAMS	S L AE M Z
SLANDER	S L AE N D ER
SLANDERED	S L AE N D ER D
SLANDERER	S L AE N D ER ER
SLANDERING	S L AE N D ER IH NG
SLANDEROUS	S L AE N D ER AH S
SLANDERS	S L AE N D ER Z
SLANG	S L AE NG
SLANT	S L AE N T
SLANTED	S L AE N T AH D
SLANTING	S L AE N T IH NG
SLAP	S L AE P
SLAPDASH	S L AE P D AE SH
SLAPHAPPY	S L AE P HH AE P IY
SLAPPED	S L AE P T
SLAPPING	S L AE P IH NG
SLAPS	S L AE P S
SLAPSTICK	S L AE P S T IH K
SLASH	S L AE SH
SLASHED	S L AE SH T
SLASHER	S L AE SH ER
SLASHES	S L AE SH IH Z
SLASHING	S L AE SH IH NG
SLAT	S L AE T
SLATE	S L EY T
SLATED	S L EY T IH D
SLATER	S L EY T ER
SLATER'S	S L EY T ER Z
SLATERS	S L EY T ER Z
SLATES	S L EY T S
SLATHER	S L AE DH ER
SLATHERED	S L AE DH ER D
SLATHERING	S L AE DH ER IH NG
SLATHERS	S L AE DH ER Z
SLATING	S L EY T IH NG
SLATS	S L AE T S
SLAUGHTER	S L AO T ER
SLAUGHTERED	S L AO T ER D
SLAUGHTERHOUSE	S L AO T ER HH AW S
SLAUGHTERHOUSES	S L AO T ER HH AW S IH Z
SLAUGHTERING	S L AO T ER IH NG
SLAUGHTERINGS	S L AO T ER IH NG Z
SLAUGHTERS	S L AO T ER Z
SLAVE	S L EY V
SLAVERY	S L EY V ER IY
SLAVES	S L EY V Z
SLAVISH	S L EY V IH SH
SLAVISHLY	S L AE V IH SH L IY
SLAW	S L AO
SLAY	S L EY
SLAYER	S L EY ER
SLAYING	S L EY IH NG
SLEAZE	S L IY Z
SLEAZY	S L IY Z IY
SLED	S L EH D
SLEDDING	S L EH D IH NG
SLEDGE	S L EH JH
SLEDGEHAMMER	S L EH JH HH AE M ER
SLEDS	S L EH D Z
SLEEK	S L IY K
SLEEKER	S L IY K ER
SLEEKEST	S L IY K AH S T
SLEEKLY	S L IY K L IY
SLEEP	S L IY P
SLEEPER	S L IY P ER
SLEEPERS	S L IY P ER Z
SLEEPILY	S L IY P AH L IY
SLEEPINESS	S L IY P IY N AH S
SLEEPING	S L IY P IH NG
SLEEPLESS	S L IY P L AH S
SLEEPS	S L IY P S
SLEEPWALK	S L IY P W AO K
SLEEPWALKER	S L IY P W AO K ER
SLEEPWALKERS	S L IY P W AO K ER Z
SLEEPWALKING	S L IY P W AO K IH NG
SLEEPWEAR	S L IY P W EH R
SLEEPY	S L IY P IY
SLEET	S L IY T
SLEEVE	S L IY V
SLEEVED	S L IY V D
SLEEVELESS	S L IY V L IH S
SLEEVES	S L IY V Z
SLEIGH	S L EY
SLEIGHT	S L AY T
SLENDER	S L EH N D ER
SLEPT	S L EH P T
SLEUTH	S L UW TH
SLEUTHING	S L UW TH IH NG
SLEUTHS	S L UW TH S
SLEW	S L UW
SLICE	S L AY S
SLICED	S L AY S T
SLICER	S L AY S ER
SLICES	S L AY S AH Z
SLICING	S L AY S IH NG
SLICK	S L IH K
SLICKED	S L IH K T
SLICKER	S L IH K ER
SLICKERS	S L IH K ER Z
SLICKEST	S L IH K AH S T
SLICKLY	S L IH K L IY
SLICKS	S L IH K S
SLID	S L IH D
SLIDE	S L AY D
SLIDER	S L AY D ER
SLIDES	S L AY D Z
SLIDING	S L AY D IH NG
SLIGHT	S L AY T
SLIGHTED	S L AY T IH D
SLIGHTEST	S L AY T AH S T
SLIGHTING	S L AY T IH NG
SLIGHTLY	S L AY T L IY
SLIGHTS	S L AY T S
SLIM	S L IH M
SLIME	S L AY M
SLIMMED	S L IH M D
SLIMMER	S L IH M ER
SLIMMEST	S L IH M AH S T
SLIMMING	S L IH M IH NG
SLIMS	S L IH M Z
SLIMY	S L AY M IY
SLING	S L IH NG
SLINGER	S L IH NG ER
SLINGING	S L IH NG IH NG
SLINGS	S L IH NG Z
SLINGSHOT	S L IH NG SH AA T
SLINGSHOTS	S L IH NG SH AA T S
SLINKY	S L IH NG K IY
SLIP	S L IH P
SLIP-ON	S L IH P AA N
SLIP-ONS	S L IH P AA N Z
SLIPPAGE	S L IH P IH JH
SLIPPED	S L IH P T
SLIPPER	S L IH P ER
SLIPPERS	S L IH P ER Z
SLIPPERY	S L IH P ER IY
SLIPPING	S L IH P IH NG
SLIPS	S L IH P S
SLIPSHOD	S L IH P SH AA D
SLIT	S L IH T
SLITHER	S L IH DH ER
SLITHERING	S L IH DH ER IH NG
SLITS	S L IH T S
SLITTING	S L IH T IH NG
SLIVER	S L IH V ER
SLIVERS	S L IH V ER Z
SLOB	S L AA B
SLOBBER	S L AA B ER
SLOBBERING	S L AA B ER IH NG
SLOBS	S L AA B Z
SLOE	S L OW
SLOG	S L AA G
SLOGAN	S L OW G AH N
SLOGANS	S L OW G AH N Z
SLOGGED	S L AA G D
SLOGGING	S L AA G IH NG
SLOOP	S L UW P
SLOP	S L AA P
SLOPE	S L OW P
SLOPER	S L OW P ER
SLOPES	S L OW P S
SLOPING	S L OW P IH NG
SLOPPIER	S L AA P IY ER
SLOPPIEST	S L AA P IY AH S T
SLOPPILY	S L AA P AH L IY
SLOPPINESS	S L AA P IY N AH S
SLOPPY	S L AA P IY
SLOSH	S L AA SH
SLOSHING	S L AA SH IH NG
SLOT	S L AA T
SLOTH	S L OW TH
SLOTS	S L AA T S
SLOTTED	S L AA T IH D
SLOTTING	S L AA T IH NG
SLOUCH	S L AW CH
SLOUCHES	S L AW CH IH Z
SLOUCHING	S L AW CH IH NG
SLOUGH	S L AH F
SLOUGHS	S L AH F S
SLOVENLINESS	S L AH V AH N L IY N AH S
SLOVENLY	S L AH V AH N L IY
SLOW	S L OW
SLOWDOWN	S L OW D AW N
SLOWDOWNS	S L OW D AW N Z
SLOWED	S L OW D
SLOWER	S L OW ER
SLOWEST	S L OW AH S T
SLOWING	S L OW IH NG
SLOWLY	S L OW L IY
SLOWNESS	S L OW N AH S
SLOWPOKE	S L OW P OW K
SLOWS	S L OW Z
SLUDGE	S L AH JH
SLUDGY	S L AH JH IY
SLUG	S L AH G
SLUGGED	S L AH G D
SLUGGER	S L AH G ER
SLUGGERS	S L AH G ER Z
SLUGGING	S L AH G IH NG
SLUGGISH	S L AH G IH SH
SLUGGISHLY	S L AH G IH SH L IY
SLUGGISHNESS	S L AH G IH SH N AH S
SLUGS	S L AH G Z
SLUICE	S L UW S
SLUICING	S L UW S IH NG
SLUM	S L AH M
SLUMBER	S L AH M B ER
SLUMBERING	S L AH M B ER IH NG
SLUMP	S L AH M P
SLUMPED	S L AH M P T
SLUMPING	S L AH M P IH NG
SLUMPS	S L AH M P S
SLUMS	S L AH M Z
SLUNG	S L AH NG
SLUR	S L ER
SLURP	S L ER P
SLURRED	S L ER D
SLURRING	S L ER IH NG
SLURRY	S L ER IY
SLURS	S L ER Z
SLUSH	S L AH SH
SLUT	S L AH T
SLUTTY	S L AH T IY
SLY	S L AY
SLYLY	S L AY L IY
SLYNESS	S L AY N AH S
SMACK	S M AE K
SMACKED	S M AE K T
SMACKING	S M AE K IH NG
SMACKS	S M AE K S
SMALL	S M AO L
SMALLER	S M AO L ER
SMALLEST	S M AO L AH S T
SMALLING	S M AO L IH NG
SMALLISH	S M AO L IH SH
SMALLNESS	S M AO L N AH S
SMALLPOX	S M AO L P AA K S
SMALLS	S M AO L Z
SMALLTALK	S M AO L T AO K
SMARMY	S M AA R M IY
SMART	S M AA R T
SMARTED	S M AA R T AH D
SMARTEN	S M AA R T AH N
SMARTENED	S M AA R T AH N D
SMARTENING	S M AA R T AH N IH NG
SMARTER	S M AA R T ER
SMARTEST	S M AA R T AH S T
SMARTING	S M AA R T IH NG
SMARTLY	S M AA R T L IY
SMARTNESS	S M AA R T N IH S
SMARTS	S M AA R T S
SMASH	S M AE SH
SMASHED	S M AE SH T
SMASHER	S M AE SH ER
SMASHES	S M AE SH IH Z
